0,This app is so bright it hurts.
1,"You're trying to read, write and relax, but the blank color scheme reminds me more of the sun hitting my face at 6am than of me relaxing while browsing."
2,"This app doesn't have some sort of front page like imgur has for example, instead all we get is the ""discover"" feature which only promotes bland, vague and uninteresting posts with no personality."
3,Just look at it right now!
4,"Where are the people sharing relatable stories, or video game strategies, or book or tv show reviews or something?"
5,"All the posts featured there are just... unattractive, to say the least."
6,"And it's the only source of new content there is, otherwise you have to look it up manually."
7,"There are no set categories or tags, instead you make them up and unless people type them up exactly like you did they won't see your post, which is counterintuitive and discourages finding new posts or bloggers."
8,People can disapprove or even edit your comments.
9,"That is twisted, discourages freedom of speech and opinion sharing and even allows people to literally put words in your mouth by changing your original comment to whatever they want."
10,"You can't dislike posts or comments, so the voting system is pointless."
11,"You might think otherwise because Twitter and Vine have no downvotes,  but they promote discovery of new content in various ways, while WordPress does not."
12,The search bar doesn't work.
13,I've tried finding my own posts with the exact same title they have and they don't appear.
14,"All of these factors make it feel deserted and lacking of a community, and discourage new users of getting into writing or reading on WordPress."
15,Also there used to be a eay to add a black outline to images; a necessity when the background is white.
16,"Change the profile pic from the app was successful,new pic applied in WordPress web based,but in the blog owner comment reply list the blog owner gravatar still using the old previous profile pic,I wish there will be select all in Comment menu so user can select all spam comment n delete at once.Why if we change public name it doesnt change all the previous public name in older comments with new one!"
17,?the Reader tab have issue it still showing me content from blog site i have unfollow for months!
18,The only use for this app over google is it shows trails and jungle footpaths.
19,After that its 'EFFING USELESS.
20,The pointer spins constantly so you cant tell which way you're facing.
21,"It points 180 degrees out and the blue dotted line follows you, ie it can send you back the way you came and not leave your start point blank....so you still think youre going the right way as youre always attached to the dotted line."
22,"It should let the pointer move away from the dotted line, then you can see youre off course."
23,If you brush the screen it opens a new dropped pin which then deletes the path you were following.
24,I cant bookmark anything.
25,"Theres paths highlighted in red that i didnt add, it constantly directs you to road routes even tho i only want mountain footpaths and have it set to walking."
26,"It does work offline for me which is 1 reason not to boot it just yet but its useless to navigate with, i use it just to look for trails."
27,Thankfully im not getting ads cos thailand auto blocks anything that isnt of profit directly to them.
28,"You need to disable the info sharing, apparently this app sells info on you 20 times more than other apps"
29,"Voice guidance is awful: says keep right/left where I have to go straight, doesn't say exit numbers, doesn't say street names."
30,"Search is poor: shows the list, but how do I check these places on the map."
31,"I click the place and it shows my current location with the option to route to, but sometimes it shows the destination, go figure!"
32,"No alternative routes, not optimal route, it can give the route which includes traffic lights, a couple of left turns instead of short residential road and right turn"
33,"Problems, Problems, Problems!"
34,"------------ First when I installed the app & got some maps, they would disappear from the phone after each re-boot."
35,"So, I wrote to the developer."
36,"No reply after a month, I wrote back."
37,No reply after two weeks.
38,------------- Next I uninstalled & re-installed the app (for the 12th time trying to fix the vanishing maps problem).
39,Now the place in Settings to tell the app where to store the maps is gone.
40,Gone!
41,(The SD is 32 GB and has 31 GB free) I wrote the developer.
42,After a week- no reply.
43,"---------- Uninstall Warning: Each time I uninstalled the app., a large folder (Over 1 GB on mine) was left behind on the phone."
44,One must use a file manager to delete it.
45,--------- I Give Up (Which is too bad because this app is easy to use.)
46,"UPDATE- As shown below, the someone from the developer company posted suggestions."
47,I had already tried (multiple times) what is suggested in the links the person posted.
48,I also had already sent e-mails to the address shown.
49,I will try one more time to contact them (because it looks like a fun & easy app).
50,"If no luck, I'll have to conclude that my phone and this app just won't play well together."
51,UPDATE- Developer replied to this review and asked me for the name I used to contact them.
52,I won't post my e-mail here.
53,(That's not a comfortable thing to do.)
54,I sent a new e-maill to them.
55,I will update the review & star rating when (if) they reply & tell me how to make this application work.
56,"Its good, very useful for walking/hiking."
57,Which OSM is very good for.
58,Could  be better with search results for Car Navigation.
59,OSM doesn't really  support proper Address searching so relying solely on this isn't possible.
60,I have to go back to Google to find actual full addresses.
61,What I would  like to see changed is; - when searching the results show the downloaded  Map Name which can be confusing as it doesn't match the location of the  address.
62,(please remove this) - would be nice to have other map  overlays/textures to choose from.
63,(like osm where it shows house numbers!)
64,- Ability to sort bookmarks by Name rather than just when they were added.
65,(also when searching to show bookmarks in results) - Transport information  Trains / Bus times currently not available for the UK.
66,I almost rated this for stars.
67,"It's a nice, useful app with some gaps--I really like the basic idea and the maps themselves are accurate and occasionally have nice details (for example, airport gate numbers)."
68,"There are some major gaps in searching for foods, shopping, etc., though."
69,Primarily this is just in not having locations.
70,"For example, in one city in Japan I did a search for food and it came up with maybe 3 or 4 places when I was aware of dozens close by."
71,"Since it pretty quickly looks for options further away, I was getting results up to fifty miles away (in Japan, traveling fifty miles can take several hours)."
72,It also missed the biggest shopping center in the area.
73,"Still, it's handy for knowing where you are and had the ability to download sections of the world's you're interested in.the interface is also easy to navigate and it came up with Japanese city names easily even though I was using English letters."
